a	occurrence?id_SignBankVariant=373
ns-africa* (ns-africa+ns-america+agent)	occurrence?id_SignBankVariant=3878

(a)ns-africa+ns-america+agent	occurrence?id_SignBankVariant=3176

ns-africa+ns-america+agent	occurrence?id_SignBankVariant=3877

afternoon	occurrence?id_SignBankVariant=409
*afternoon (now+afternoon)	occurrence?id_SignBankVariant=5380
*afternoon_2 ((1h)now+afternoon_2)	occurrence?id_SignBankVariant=5236
afternoon_2	occurrence?id_SignBankVariant=410

afternoon_3	occurrence?id_SignBankVariant=4572

again	occurrence?id_SignBankVariant=411

against	occurrence?id_SignBankVariant=412

age-five	occurrence?id_SignBankVariant=413

age-four	occurrence?id_SignBankVariant=414

age-one	occurrence?id_SignBankVariant=415

age-six	occurrence?id_SignBankVariant=6440
*age-six* (old+age-six+half)	occurrence?id_SignBankVariant=5307
age-six* (age-six+half)	occurrence?id_SignBankVariant=5305

age-six+half	occurrence?id_SignBankVariant=5306

age-thirteen	occurrence?id_SignBankVariant=5299

age-three	occurrence?id_SignBankVariant=6547

age-twenty-one	occurrence?id_SignBankVariant=4528
age-twenty-one_2	occurrence?id_SignBankVariant=4637

age-two	occurrence?id_SignBankVariant=416

agent	occurrence?id_SignBankVariant=417
*(1h)agent ((1h)teach+(1h)agent)	occurrence?id_SignBankVariant=5064
*(1h)agent (interpret+(1h)agent)	occurrence?id_SignBankVariant=6685
*(1h)agent (preach+(1h)agent)	occurrence?id_SignBankVariant=6729
*agent (#bus+drive+agent)	occurrence?id_SignBankVariant=6353
*agent ((1)report+agent)	occurrence?id_SignBankVariant=5981
*agent ((1h)haircut+agent)	occurrence?id_SignBankVariant=3130
*agent ((1h)hammer+agent)	occurrence?id_SignBankVariant=3133
*agent ((1h)teach+agent)	occurrence?id_SignBankVariant=6628
*agent ((2h)alt.engineering+agent)	occurrence?id_SignBankVariant=3146
*agent ((2h)alt.haircut+agent)	occurrence?id_SignBankVariant=3152
*agent ((2h)silly+agent)	occurrence?id_SignBankVariant=6437
*agent ((a)ns-africa+ns-america+agent)	occurrence?id_SignBankVariant=3179
*agent ((d)art/design+agent)	occurrence?id_SignBankVariant=5445
*agent ((r)show+agent)	occurrence?id_SignBankVariant=3188
*agent (act+agent)	occurrence?id_SignBankVariant=3230
*agent (advise/influence+agent)	occurrence?id_SignBankVariant=3236
*agent (airplane+agent)	occurrence?id_SignBankVariant=3239
*agent (answer+agent)	occurrence?id_SignBankVariant=3245
*agent (art/design+agent)	occurrence?id_SignBankVariant=3260
*agent (audiology+agent)	occurrence?id_SignBankVariant=3263
*agent (baby+care+agent)	occurrence?id_SignBankVariant=5392
*agent (beg+agent)	occurrence?id_SignBankVariant=3302
*agent (beg_2+agent)	occurrence?id_SignBankVariant=3305
*agent (between/share+agent)	occurrence?id_SignBankVariant=3308
*agent (buy+agent)	occurrence?id_SignBankVariant=3376
*agent (calculator+agent)	occurrence?id_SignBankVariant=6681
*agent (car+agent)	occurrence?id_SignBankVariant=5103
*agent (care+agent)	occurrence?id_SignBankVariant=3400
*agent (care_2+agent)	occurrence?id_SignBankVariant=6078
*agent (carpenter+agent)	occurrence?id_SignBankVariant=5486
*agent (cashier+agent)	occurrence?id_SignBankVariant=3403
*agent (chemistry+agent)	occurrence?id_SignBankVariant=5588
*agent (cook/kitchen+agent)	occurrence?id_SignBankVariant=3442
*agent (cooperate/unite+agent)	occurrence?id_SignBankVariant=5537
*agent (count+agent)	occurrence?id_SignBankVariant=5416
*agent (court+agent)	occurrence?id_SignBankVariant=3454
*agent (create/pretend+agent)	occurrence?id_SignBankVariant=5488
*agent (dance+agent)	occurrence?id_SignBankVariant=5462
*agent (direct+agent)	occurrence?id_SignBankVariant=3481
*agent (electric+agent)	occurrence?id_SignBankVariant=3565
*agent (engineering+agent)	occurrence?id_SignBankVariant=3568
*agent (farm+agent)	occurrence?id_SignBankVariant=3589
*agent (farm_2+agent)	occurrence?id_SignBankVariant=3592
*agent (fishing+agent)	occurrence?id_SignBankVariant=5571
*agent (government+agent)	occurrence?id_SignBankVariant=3684
*agent (haircut+agent)	occurrence?id_SignBankVariant=3702
*agent (history+agent)	occurrence?id_SignBankVariant=5620
*agent (humor+agent)	occurrence?id_SignBankVariant=5470
*agent (interpret+agent)	occurrence?id_SignBankVariant=3759
*agent (law+agent)	occurrence?id_SignBankVariant=3777
*agent (lead+agent)	occurrence?id_SignBankVariant=3780
*agent (learn+agent)	occurrence?id_SignBankVariant=3783
*agent (lecture+agent)	occurrence?id_SignBankVariant=5960
*agent (library+agent)	occurrence?id_SignBankVariant=3786
*agent (linguistics+agent)	occurrence?id_SignBankVariant=5584
*agent (lutheran+agent)	occurrence?id_SignBankVariant=3813
*agent (magic+agent)	occurrence?id_SignBankVariant=5426
*agent (make+agent)	occurrence?id_SignBankVariant=5394
*agent (manage/control+agent)	occurrence?id_SignBankVariant=3816
*agent (million/billion+agent)	occurrence?id_SignBankVariant=3822
*agent (million/billion_2+agent)	occurrence?id_SignBankVariant=3825
*agent (motivate+agent)	occurrence?id_SignBankVariant=3846
*agent (music+agent)	occurrence?id_SignBankVariant=3852
*agent (neuroscience+science+agent)	occurrence?id_SignBankVariant=5418
*agent (next+agent)	occurrence?id_SignBankVariant=3861
*agent (ns-africa+ns-america+agent)	occurrence?id_SignBankVariant=3880
*agent (ns-jesus+agent)	occurrence?id_SignBankVariant=3890
*agent (opposite+agent)	occurrence?id_SignBankVariant=3920
*agent (paint+agent)	occurrence?id_SignBankVariant=3923
*agent (philosophy+agent)	occurrence?id_SignBankVariant=5484
*agent (physics+agent)	occurrence?id_SignBankVariant=5497
*agent (plan+agent)	occurrence?id_SignBankVariant=5558
*agent (play+agent)	occurrence?id_SignBankVariant=3953
*agent (politics+agent)	occurrence?id_SignBankVariant=5467
*agent (preach+agent)	occurrence?id_SignBankVariant=3962
*agent (predict+agent)	occurrence?id_SignBankVariant=3965
*agent (print+agent)	occurrence?id_SignBankVariant=3968
*agent (prison+agent)	occurrence?id_SignBankVariant=3971
*agent (program+agent)	occurrence?id_SignBankVariant=5447
*agent (psychiatry+agent)	occurrence?id_SignBankVariant=3974
*agent (psychology+agent)	occurrence?id_SignBankVariant=3977
*agent (renovation+agent)	occurrence?id_SignBankVariant=4008
*agent (report+agent)	occurrence?id_SignBankVariant=4011
*agent (safe+agent)	occurrence?id_SignBankVariant=4014
*agent (safe_2+agent)	occurrence?id_SignBankVariant=4017
*agent (science+agent)	occurrence?id_SignBankVariant=4020
*agent (sculpt+agent)	occurrence?id_SignBankVariant=5419
*agent (sell+agent)	occurrence?id_SignBankVariant=5389
*agent (service+agent)	occurrence?id_SignBankVariant=4032
*agent (show+agent)	occurrence?id_SignBankVariant=4047
*agent (show-2p+agent)	occurrence?id_SignBankVariant=6704
*agent (society+agent)	occurrence?id_SignBankVariant=5499
*agent (specialty+agent)	occurrence?id_SignBankVariant=5170
*agent (statistics+agent)	occurrence?id_SignBankVariant=5962
*agent (story+agent)	occurrence?id_SignBankVariant=4086
*agent (supervise+agent)	occurrence?id_SignBankVariant=4089
*agent (support+agent)	occurrence?id_SignBankVariant=4092
*agent (take-picture+agent)	occurrence?id_SignBankVariant=5527
*agent (teach+agent)	occurrence?id_SignBankVariant=4098
*agent (technology+agent)	occurrence?id_SignBankVariant=4101
*agent (technology_2+agent)	occurrence?id_SignBankVariant=4104
*agent (therapy+agent)	occurrence?id_SignBankVariant=5489
*agent (use+agent)	occurrence?id_SignBankVariant=4211
*agent (use_2+agent)	occurrence?id_SignBankVariant=4214
*agent (vacuum+agent)	occurrence?id_SignBankVariant=6507
*agent (vegetable+agent)	occurrence?id_SignBankVariant=4915
*agent (visit+agent)	occurrence?id_SignBankVariant=4220
*agent (weld+agent)	occurrence?id_SignBankVariant=5448
*agent (wrench/plumbing+agent)	occurrence?id_SignBankVariant=7829
*agent (wrestle+agent)	occurrence?id_SignBankVariant=4295
*agent (write+agent)	occurrence?id_SignBankVariant=4301

aggressive	occurrence?id_SignBankVariant=418

agree	occurrence?id_SignBankVariant=419
(1h)agree	occurrence?id_SignBankVariant=6560
*agree ((2h)think+agree)	occurrence?id_SignBankVariant=6058
*agree (think+agree)	occurrence?id_SignBankVariant=4116

ahead	occurrence?id_SignBankVariant=421

air	occurrence?id_SignBankVariant=422

air-pump	occurrence?id_SignBankVariant=423

airplane	occurrence?id_SignBankVariant=424
airplane* (airplane+agent)	occurrence?id_SignBankVariant=3238

airplane+agent	occurrence?id_SignBankVariant=3237

ns-#ala	occurrence?id_SignBankVariant=5508

alarm	occurrence?id_SignBankVariant=425

ns-alaska	occurrence?id_SignBankVariant=5412

ns-alberta	occurrence?id_SignBankVariant=5494

alcohol	occurrence?id_SignBankVariant=426

algebra	occurrence?id_SignBankVariant=427
algebra_2	occurrence?id_SignBankVariant=428

#all	occurrence?id_SignBankVariant=3
#all_2	occurrence?id_SignBankVariant=4
(2h)#all_2	occurrence?id_SignBankVariant=4454

all	occurrence?id_SignBankVariant=429

all-afternoon	occurrence?id_SignBankVariant=430

all-day	occurrence?id_SignBankVariant=431

all-gone	occurrence?id_SignBankVariant=4610
*all-gone (bald+all-gone)	occurrence?id_SignBankVariant=3269
*all-gone (bald_2+all-gone)	occurrence?id_SignBankVariant=6202

all-morning	occurrence?id_SignBankVariant=5723

all-night	occurrence?id_SignBankVariant=432
*all-night (past+all-night)	occurrence?id_SignBankVariant=5078
all-night-to-morning	occurrence?id_SignBankVariant=4790
all-night_2	occurrence?id_SignBankVariant=434
all-night_3	occurrence?id_SignBankVariant=4586

all-night-after-midnight	occurrence?id_SignBankVariant=433

all-over-the-place	occurrence?id_SignBankVariant=6433

all-right	occurrence?id_SignBankVariant=435
legal-right	occurrence?id_SignBankVariant=1699

all-scenes	occurrence?id_SignBankVariant=6524

all-year	occurrence?id_SignBankVariant=5745

all-years-hs	occurrence?id_SignBankVariant=4597

allergy	occurrence?id_SignBankVariant=437

alligator	occurrence?id_SignBankVariant=438

allow	occurrence?id_SignBankVariant=439

almost	occurrence?id_SignBankVariant=440
(1h)almost	occurrence?id_SignBankVariant=6615

alone	occurrence?id_SignBankVariant=441
alone_2	occurrence?id_SignBankVariant=6426

also	occurrence?id_SignBankVariant=442
*also (boy+also)	occurrence?id_SignBankVariant=3332
*also (boy_2+also)	occurrence?id_SignBankVariant=3353
*also (girl+also)	occurrence?id_SignBankVariant=3641

alumni	occurrence?id_SignBankVariant=6013

always	occurrence?id_SignBankVariant=443
always* (always+forever)	occurrence?id_SignBankVariant=6540
always* (always+forever_2)	occurrence?id_SignBankVariant=3241
always* (always+forever_3)	occurrence?id_SignBankVariant=6741

always+forever	occurrence?id_SignBankVariant=6542

always+forever_2	occurrence?id_SignBankVariant=3240

always+forever_3	occurrence?id_SignBankVariant=6767

amazed	occurrence?id_SignBankVariant=444

ambulance	occurrence?id_SignBankVariant=445
(crvd-sprd-b)ambulance	occurrence?id_SignBankVariant=228

ns-america	occurrence?id_SignBankVariant=1949
*ns-america (center+ns-america)	occurrence?id_SignBankVariant=3430
*ns-america (north+ns-america)	occurrence?id_SignBankVariant=5608
*ns-america (south+ns-america)	occurrence?id_SignBankVariant=5493
*ns-america* ((a)ns-africa+ns-america+agent)	occurrence?id_SignBankVariant=3178
*ns-america* (ns-africa+ns-america+agent)	occurrence?id_SignBankVariant=3879
ns-america* (ns-america+sign+language)	occurrence?id_SignBankVariant=3882

ns-america+sign+language	occurrence?id_SignBankVariant=3881

ns-american-airlines	occurrence?id_SignBankVariant=4361

ns-american-indian	occurrence?id_SignBankVariant=1950

among	occurrence?id_SignBankVariant=446
among_2	occurrence?id_SignBankVariant=447

analyze	occurrence?id_SignBankVariant=448
analyze-list	occurrence?id_SignBankVariant=449
analyze_2	occurrence?id_SignBankVariant=450
analyze_3	occurrence?id_SignBankVariant=4775

and	occurrence?id_SignBankVariant=451

angel	occurrence?id_SignBankVariant=452

angle	occurrence?id_SignBankVariant=453

angry	occurrence?id_SignBankVariant=5490
(1h)angry	occurrence?id_SignBankVariant=66
(2h)alt.angry	occurrence?id_SignBankVariant=129
very-angry	occurrence?id_SignBankVariant=5999

animal	occurrence?id_SignBankVariant=454

announce	occurrence?id_SignBankVariant=455
announce_2	occurrence?id_SignBankVariant=456

answer	occurrence?id_SignBankVariant=457
answer* (answer+agent)	occurrence?id_SignBankVariant=3244

answer+agent	occurrence?id_SignBankVariant=3243

any	occurrence?id_SignBankVariant=458
(2h)any	occurrence?id_SignBankVariant=4389
(2h)any* ((2h)any+(2h)thing)	occurrence?id_SignBankVariant=5135
any* (any+more)	occurrence?id_SignBankVariant=6920
any* (any+one)	occurrence?id_SignBankVariant=3247
any* (any+one-pl-arc)	occurrence?id_SignBankVariant=6079
any* (any+one_2)	occurrence?id_SignBankVariant=6196
any* (any+thing)	occurrence?id_SignBankVariant=3250
any* (any+time)	occurrence?id_SignBankVariant=6630
any* (any+where)	occurrence?id_SignBankVariant=3253

(2h)any+(2h)thing	occurrence?id_SignBankVariant=5191

any+more	occurrence?id_SignBankVariant=6924

any+one	occurrence?id_SignBankVariant=3246

any+one-pl-arc	occurrence?id_SignBankVariant=6081

any+one_2	occurrence?id_SignBankVariant=6237

any+thing	occurrence?id_SignBankVariant=3249

any+time	occurrence?id_SignBankVariant=6645

any+where	occurrence?id_SignBankVariant=3252

anyway/not-matter	occurrence?id_SignBankVariant=459

appetizer	occurrence?id_SignBankVariant=5632

applause	occurrence?id_SignBankVariant=460
*applause ((2h)thumbs-up/good+applause)	occurrence?id_SignBankVariant=6096
applause-arc	occurrence?id_SignBankVariant=6376

apple	occurrence?id_SignBankVariant=461
(s)apple	occurrence?id_SignBankVariant=333
apple* (apple+juice)	occurrence?id_SignBankVariant=5433

apple+juice	occurrence?id_SignBankVariant=5946

apply	occurrence?id_SignBankVariant=462
apply-1p	occurrence?id_SignBankVariant=4752
apply_2	occurrence?id_SignBankVariant=6644

appoint	occurrence?id_SignBankVariant=463

appointment	occurrence?id_SignBankVariant=464
(a)appointment	occurrence?id_SignBankVariant=192
(nd-s)appointment	occurrence?id_SignBankVariant=295

approve	occurrence?id_SignBankVariant=465

approve/ratify	occurrence?id_SignBankVariant=466

#apt	occurrence?id_SignBankVariant=4497

architect	occurrence?id_SignBankVariant=6008

area	occurrence?id_SignBankVariant=6687
(1h)area	occurrence?id_SignBankVariant=67
*(1h)area (dry+(1h)area)	occurrence?id_SignBankVariant=3490
*(1h)area (ground+(1h)area)	occurrence?id_SignBankVariant=7664
*(1h)area (king+(1h)area)	occurrence?id_SignBankVariant=6166
*area (dry+area)	occurrence?id_SignBankVariant=3502
*area (ground+area)	occurrence?id_SignBankVariant=3687
*area (king+area)	occurrence?id_SignBankVariant=3762
*area (king+ground+area)	occurrence?id_SignBankVariant=7683
*area_2 (dry+area_2)	occurrence?id_SignBankVariant=3505
*area_2 (ground+area_2)	occurrence?id_SignBankVariant=3690
*area_2 (king+area_2)	occurrence?id_SignBankVariant=3765

argue	occurrence?id_SignBankVariant=467
argue_2	occurrence?id_SignBankVariant=5665
argue_2-continuative	occurrence?id_SignBankVariant=6492

ns-arizona	occurrence?id_SignBankVariant=1951

ns-#ark	occurrence?id_SignBankVariant=6388

arm	occurrence?id_SignBankVariant=468
arm* (arm+short-sleeve)	occurrence?id_SignBankVariant=3256

arm+short-sleeve	occurrence?id_SignBankVariant=3255

around	occurrence?id_SignBankVariant=469

arrive	occurrence?id_SignBankVariant=470

art/design	occurrence?id_SignBankVariant=471
(d)art/design	occurrence?id_SignBankVariant=231
(d)art/design* ((d)art/design+agent)	occurrence?id_SignBankVariant=5686
art/design* (art/design+agent)	occurrence?id_SignBankVariant=3259
art/design_2	occurrence?id_SignBankVariant=472

(d)art/design+agent	occurrence?id_SignBankVariant=5740

art/design+agent	occurrence?id_SignBankVariant=3258

article	occurrence?id_SignBankVariant=473

*ascend (stand-up+ascend)	occurrence?id_SignBankVariant=4083

ns-asia	occurrence?id_SignBankVariant=1952
(a)ns-asia	occurrence?id_SignBankVariant=199
ns-asia_2	occurrence?id_SignBankVariant=1953

ask	occurrence?id_SignBankVariant=474
(2h)alt.ask_2:i	occurrence?id_SignBankVariant=7651
1p-ask:j	occurrence?id_SignBankVariant=4357
2p-ask:j	occurrence?id_SignBankVariant=4507
ask-1p	occurrence?id_SignBankVariant=4495
ask_2	occurrence?id_SignBankVariant=475

#asl	occurrence?id_SignBankVariant=5

assault	occurrence?id_SignBankVariant=476

assist	occurrence?id_SignBankVariant=477

association	occurrence?id_SignBankVariant=478

astonished	occurrence?id_SignBankVariant=479

astray	occurrence?id_SignBankVariant=480

ns-athens	occurrence?id_SignBankVariant=1954

ns-atlanta	occurrence?id_SignBankVariant=1955

*attack (heart+attack)	occurrence?id_SignBankVariant=3723

attempt	occurrence?id_SignBankVariant=481

attention-tap	occurrence?id_SignBankVariant=6423

attention-wave	occurrence?id_SignBankVariant=482
attention-wave_2	occurrence?id_SignBankVariant=6463

attitude	occurrence?id_SignBankVariant=483
attitude_2	occurrence?id_SignBankVariant=484

auction	occurrence?id_SignBankVariant=485

audience	occurrence?id_SignBankVariant=486
*audience (people+audience)	occurrence?id_SignBankVariant=3947

audiology	occurrence?id_SignBankVariant=487
audiology* (audiology+agent)	occurrence?id_SignBankVariant=3262

audiology+agent	occurrence?id_SignBankVariant=3261

#aug	occurrence?id_SignBankVariant=5625

aunt	occurrence?id_SignBankVariant=488
aunt_2	occurrence?id_SignBankVariant=489

ns-australia	occurrence?id_SignBankVariant=1956

authority	occurrence?id_SignBankVariant=490

automatic	occurrence?id_SignBankVariant=4469

autumn	occurrence?id_SignBankVariant=491

available	occurrence?id_SignBankVariant=492

average	occurrence?id_SignBankVariant=493
*average ((s)old+average)	occurrence?id_SignBankVariant=3194
average/range	occurrence?id_SignBankVariant=494
medium	occurrence?id_SignBankVariant=5861

avoid/fall-behind	occurrence?id_SignBankVariant=495

awkward	occurrence?id_SignBankVariant=496

b	occurrence?id_SignBankVariant=497

baby	occurrence?id_SignBankVariant=498
*baby (boy+baby)	occurrence?id_SignBankVariant=3338
*baby (girl+baby)	occurrence?id_SignBankVariant=3647
*baby (girl_2+baby)	occurrence?id_SignBankVariant=6727
*baby_2 (boy+baby_2)	occurrence?id_SignBankVariant=7708
*baby_2 (girl+baby_2)	occurrence?id_SignBankVariant=3650
baby* (baby+care)	occurrence?id_SignBankVariant=6725
baby* (baby+care+agent)	occurrence?id_SignBankVariant=5390

baby+care	occurrence?id_SignBankVariant=6761

baby+care+agent	occurrence?id_SignBankVariant=5943

back	occurrence?id_SignBankVariant=500

#back	occurrence?id_SignBankVariant=6
#back_2	occurrence?id_SignBankVariant=7
(2h)#back_2	occurrence?id_SignBankVariant=127

back-of-mind	occurrence?id_SignBankVariant=4414

back-to-topic	occurrence?id_SignBankVariant=4720

background	occurrence?id_SignBankVariant=501

backpack	occurrence?id_SignBankVariant=502
(crvd-b)backpack	occurrence?id_SignBankVariant=224
backpack_2	occurrence?id_SignBankVariant=6498

backstab	occurrence?id_SignBankVariant=503

backward	occurrence?id_SignBankVariant=5694

backward_2	occurrence?id_SignBankVariant=6652

bacon	occurrence?id_SignBankVariant=504
bacon_2	occurrence?id_SignBankVariant=505

bad	occurrence?id_SignBankVariant=506
(2h)bad	occurrence?id_SignBankVariant=6128
bad* (bad+dream)	occurrence?id_SignBankVariant=3265

bad+dream	occurrence?id_SignBankVariant=3264

badge	occurrence?id_SignBankVariant=507
(f)badge	occurrence?id_SignBankVariant=240
badge_2	occurrence?id_SignBankVariant=508

bag	occurrence?id_SignBankVariant=509

bake/oven	occurrence?id_SignBankVariant=510

baking-sprinkles	occurrence?id_SignBankVariant=511
(1h)baking-sprinkles	occurrence?id_SignBankVariant=68

balance	occurrence?id_SignBankVariant=512

bald	occurrence?id_SignBankVariant=513
(2h)bald	occurrence?id_SignBankVariant=4480
bald* (bald+all-gone)	occurrence?id_SignBankVariant=3268
bald_2	occurrence?id_SignBankVariant=4478
bald_2* (bald_2+all-gone)	occurrence?id_SignBankVariant=6293

bald+all-gone	occurrence?id_SignBankVariant=3267

bald_2+all-gone	occurrence?id_SignBankVariant=6279

bald_3	occurrence?id_SignBankVariant=5660

ball	occurrence?id_SignBankVariant=514
ball* (ball+melon/pumpkin)	occurrence?id_SignBankVariant=5964

ball+melon/pumpkin	occurrence?id_SignBankVariant=6030

balloon	occurrence?id_SignBankVariant=515

ns-baltimore	occurrence?id_SignBankVariant=1957

banana	occurrence?id_SignBankVariant=516
banana_3	occurrence?id_SignBankVariant=6499

bandaid	occurrence?id_SignBankVariant=517

ns-bangladesh	occurrence?id_SignBankVariant=1958

#bank	occurrence?id_SignBankVariant=5522

baptist	occurrence?id_SignBankVariant=518

bar	occurrence?id_SignBankVariant=519

bark	occurrence?id_SignBankVariant=520
bark_2	occurrence?id_SignBankVariant=521
bark_3	occurrence?id_SignBankVariant=5762

baseball	occurrence?id_SignBankVariant=522
(s)baseball	occurrence?id_SignBankVariant=334
baseball_2	occurrence?id_SignBankVariant=523

basement	occurrence?id_SignBankVariant=524

basket	occurrence?id_SignBankVariant=525

basketball	occurrence?id_SignBankVariant=526
(crvd-5)basketball	occurrence?id_SignBankVariant=223

bat	occurrence?id_SignBankVariant=527
bat_2	occurrence?id_SignBankVariant=528
bat_3	occurrence?id_SignBankVariant=529

bath	occurrence?id_SignBankVariant=530
(2h)alt.bath	occurrence?id_SignBankVariant=6688
bath* (bath+bathrobe)	occurrence?id_SignBankVariant=3271
bath* (bath+coat)	occurrence?id_SignBankVariant=3274
bath* (bath+dcl:crvd-b"big round tub")	occurrence?id_SignBankVariant=3277
bath* (bath+dress/clothes)	occurrence?id_SignBankVariant=3280
bath* (bath+fs-tub)	occurrence?id_SignBankVariant=3283

bath+bathrobe	occurrence?id_SignBankVariant=3270

bath+coat	occurrence?id_SignBankVariant=3273

bath+dcl:crvd-b"big round tub"	occurrence?id_SignBankVariant=3276

bath+dress/clothes	occurrence?id_SignBankVariant=3279

bath+fs-tub	occurrence?id_SignBankVariant=3282

(y)bathing-suit	occurrence?id_SignBankVariant=363

bathing-suit	occurrence?id_SignBankVariant=531

bathrobe	occurrence?id_SignBankVariant=532
*bathrobe (bath+bathrobe)	occurrence?id_SignBankVariant=3272

bawl-out	occurrence?id_SignBankVariant=533
(nd-1)bawl-out	occurrence?id_SignBankVariant=280
bawl-out:j	occurrence?id_SignBankVariant=4348
i:bawl-out-distributive-3p-pl-arc	occurrence?id_SignBankVariant=4629

#bbq	occurrence?id_SignBankVariant=8
#bqq	occurrence?id_SignBankVariant=4508

ns-#bc	occurrence?id_SignBankVariant=5615

beach	occurrence?id_SignBankVariant=534
(a)beach	occurrence?id_SignBankVariant=193

beach_2	occurrence?id_SignBankVariant=5777

beach_3	occurrence?id_SignBankVariant=6327

beans	occurrence?id_SignBankVariant=536
beans_2	occurrence?id_SignBankVariant=5684

bear	occurrence?id_SignBankVariant=537

beard	occurrence?id_SignBankVariant=538

beat	occurrence?id_SignBankVariant=539
(1h)beat	occurrence?id_SignBankVariant=4616
*beat_4 (heart+beat_4)	occurrence?id_SignBankVariant=3729
beat_2	occurrence?id_SignBankVariant=540

beat_3	occurrence?id_SignBankVariant=541
(2h)beat_3	occurrence?id_SignBankVariant=6745

beautiful	occurrence?id_SignBankVariant=542
beautiful* (beautiful+dress/clothes)	occurrence?id_SignBankVariant=3286
beautiful_2	occurrence?id_SignBankVariant=543

beautiful+dress/clothes	occurrence?id_SignBankVariant=3285

beaver	occurrence?id_SignBankVariant=544
(rd)beaver	occurrence?id_SignBankVariant=6691

because	occurrence?id_SignBankVariant=545
(b-l)because	occurrence?id_SignBankVariant=4715

become	occurrence?id_SignBankVariant=546
become* (become+box/room)	occurrence?id_SignBankVariant=7660
become* (become+quiet)	occurrence?id_SignBankVariant=3289
become_2	occurrence?id_SignBankVariant=548

become+box/room	occurrence?id_SignBankVariant=7667

become+quiet	occurrence?id_SignBankVariant=3288

become-fat	occurrence?id_SignBankVariant=547

bed	occurrence?id_SignBankVariant=549
(2h)bed	occurrence?id_SignBankVariant=141
(2h)bed* ((2h)bed+cushion)	occurrence?id_SignBankVariant=3154
bed* (bed+box/room)	occurrence?id_SignBankVariant=3292
bed* (bed+cushion)	occurrence?id_SignBankVariant=3295
