a	A	occurrence?id_SignBankVariant=373
advise/influence* (advise/influence+agent)	advice, advise, counsel, guidance, guide, influence, recommend, recommendation	occurrence?id_SignBankVariant=3235
advise/influence_2	advice, advise, counsel, guidance, guide, influence, recommend, recommendation	occurrence?id_SignBankVariant=407

advise/influence+agent	advisor	occurrence?id_SignBankVariant=3234

afraid	afraid, fear, fearful, frighten, frightened, scare, scared, terrified, terrify	occurrence?id_SignBankVariant=408
scare	afraid, fear, fearful, frighten, frightened, scare, scared, terrified, terrify	occurrence?id_SignBankVariant=2445

(a)ns-africa	Africa	occurrence?id_SignBankVariant=198
(a)ns-africa* ((a)ns-africa+ns-america+agent)	Africa	occurrence?id_SignBankVariant=3177
*(a)ns-africa (south+(a)ns-africa)	Africa	occurrence?id_SignBankVariant=4074

ns-africa	Africa	occurrence?id_SignBankVariant=1948
*ns-africa (south+ns-africa)	Africa	occurrence?id_SignBankVariant=4077
ns-africa* (ns-africa+ns-america+agent)	Africa	occurrence?id_SignBankVariant=3878

(a)ns-africa+ns-america+agent	African American	occurrence?id_SignBankVariant=3176

ns-africa+ns-america+agent	African American	occurrence?id_SignBankVariant=3877

afternoon	afternoon, PM	occurrence?id_SignBankVariant=409
*afternoon (now+afternoon)	afternoon, PM	occurrence?id_SignBankVariant=5380
*afternoon_2 ((1h)now+afternoon_2)	afternoon, PM	occurrence?id_SignBankVariant=5236
afternoon_2	afternoon, PM	occurrence?id_SignBankVariant=410

afternoon_3	afternoon, PM	occurrence?id_SignBankVariant=4572

again	again, do to often, encore, once more, over, over and over, repeat, repeated, repeatedly	occurrence?id_SignBankVariant=411

against	against, anti, oppose, prejudice	occurrence?id_SignBankVariant=412

age-five	five years old	occurrence?id_SignBankVariant=413

age-four	four years old	occurrence?id_SignBankVariant=414

age-one	one year old	occurrence?id_SignBankVariant=415

age-six	six years old	occurrence?id_SignBankVariant=6440
*age-six* (old+age-six+half)	six years old	occurrence?id_SignBankVariant=5307
age-six* (age-six+half)	six years old	occurrence?id_SignBankVariant=5305

age-six+half	age-six+half	occurrence?id_SignBankVariant=5306

age-thirteen	thirteen years old	occurrence?id_SignBankVariant=5299

age-three	three years old	occurrence?id_SignBankVariant=6547

age-twenty-one	twenty-one years old	occurrence?id_SignBankVariant=4528
age-twenty-one_2	twenty-one years old	occurrence?id_SignBankVariant=4637

age-two	two years old	occurrence?id_SignBankVariant=416

agent	-er, agent, person	occurrence?id_SignBankVariant=417
*(1h)agent ((1h)teach+(1h)agent)	-er, agent, person	occurrence?id_SignBankVariant=5064
*(1h)agent (interpret+(1h)agent)	-er, agent, person	occurrence?id_SignBankVariant=6685
*(1h)agent (preach+(1h)agent)	-er, agent, person	occurrence?id_SignBankVariant=6729
*agent (#bus+drive+agent)	-er, agent, person	occurrence?id_SignBankVariant=6353
*agent ((1)report+agent)	-er, agent, person	occurrence?id_SignBankVariant=5981
*agent ((1h)haircut+agent)	-er, agent, person	occurrence?id_SignBankVariant=3130
*agent ((1h)hammer+agent)	-er, agent, person	occurrence?id_SignBankVariant=3133
*agent ((1h)teach+agent)	-er, agent, person	occurrence?id_SignBankVariant=6628
*agent ((2h)alt.engineering+agent)	-er, agent, person	occurrence?id_SignBankVariant=3146
*agent ((2h)alt.haircut+agent)	-er, agent, person	occurrence?id_SignBankVariant=3152
*agent ((2h)silly+agent)	-er, agent, person	occurrence?id_SignBankVariant=6437
*agent ((a)ns-africa+ns-america+agent)	-er, agent, person	occurrence?id_SignBankVariant=3179
*agent ((d)art/design+agent)	-er, agent, person	occurrence?id_SignBankVariant=5445
*agent ((r)show+agent)	-er, agent, person	occurrence?id_SignBankVariant=3188
*agent (act+agent)	-er, agent, person	occurrence?id_SignBankVariant=3230
*agent (advise/influence+agent)	-er, agent, person	occurrence?id_SignBankVariant=3236
*agent (airplane+agent)	-er, agent, person	occurrence?id_SignBankVariant=3239
*agent (answer+agent)	-er, agent, person	occurrence?id_SignBankVariant=3245
*agent (art/design+agent)	-er, agent, person	occurrence?id_SignBankVariant=3260
*agent (audiology+agent)	-er, agent, person	occurrence?id_SignBankVariant=3263
*agent (baby+care+agent)	-er, agent, person	occurrence?id_SignBankVariant=5392
*agent (beg+agent)	-er, agent, person	occurrence?id_SignBankVariant=3302
*agent (beg_2+agent)	-er, agent, person	occurrence?id_SignBankVariant=3305
*agent (between/share+agent)	-er, agent, person	occurrence?id_SignBankVariant=3308
*agent (buy+agent)	-er, agent, person	occurrence?id_SignBankVariant=3376
*agent (calculator+agent)	-er, agent, person	occurrence?id_SignBankVariant=6681
*agent (car+agent)	-er, agent, person	occurrence?id_SignBankVariant=5103
*agent (care+agent)	-er, agent, person	occurrence?id_SignBankVariant=3400
*agent (care_2+agent)	-er, agent, person	occurrence?id_SignBankVariant=6078
*agent (carpenter+agent)	-er, agent, person	occurrence?id_SignBankVariant=5486
*agent (cashier+agent)	-er, agent, person	occurrence?id_SignBankVariant=3403
*agent (chemistry+agent)	-er, agent, person	occurrence?id_SignBankVariant=5588
*agent (cook/kitchen+agent)	-er, agent, person	occurrence?id_SignBankVariant=3442
*agent (cooperate/unite+agent)	-er, agent, person	occurrence?id_SignBankVariant=5537
*agent (count+agent)	-er, agent, person	occurrence?id_SignBankVariant=5416
*agent (court+agent)	-er, agent, person	occurrence?id_SignBankVariant=3454
*agent (create/pretend+agent)	-er, agent, person	occurrence?id_SignBankVariant=5488
*agent (dance+agent)	-er, agent, person	occurrence?id_SignBankVariant=5462
*agent (direct+agent)	-er, agent, person	occurrence?id_SignBankVariant=3481
*agent (electric+agent)	-er, agent, person	occurrence?id_SignBankVariant=3565
*agent (engineering+agent)	-er, agent, person	occurrence?id_SignBankVariant=3568
*agent (farm+agent)	-er, agent, person	occurrence?id_SignBankVariant=3589
*agent (farm_2+agent)	-er, agent, person	occurrence?id_SignBankVariant=3592
*agent (fishing+agent)	-er, agent, person	occurrence?id_SignBankVariant=5571
*agent (government+agent)	-er, agent, person	occurrence?id_SignBankVariant=3684
*agent (haircut+agent)	-er, agent, person	occurrence?id_SignBankVariant=3702
*agent (history+agent)	-er, agent, person	occurrence?id_SignBankVariant=5620
*agent (humor+agent)	-er, agent, person	occurrence?id_SignBankVariant=5470
*agent (interpret+agent)	-er, agent, person	occurrence?id_SignBankVariant=3759
*agent (law+agent)	-er, agent, person	occurrence?id_SignBankVariant=3777
*agent (lead+agent)	-er, agent, person	occurrence?id_SignBankVariant=3780
*agent (learn+agent)	-er, agent, person	occurrence?id_SignBankVariant=3783
*agent (lecture+agent)	-er, agent, person	occurrence?id_SignBankVariant=5960
*agent (library+agent)	-er, agent, person	occurrence?id_SignBankVariant=3786
*agent (linguistics+agent)	-er, agent, person	occurrence?id_SignBankVariant=5584
*agent (lutheran+agent)	-er, agent, person	occurrence?id_SignBankVariant=3813
*agent (magic+agent)	-er, agent, person	occurrence?id_SignBankVariant=5426
*agent (make+agent)	-er, agent, person	occurrence?id_SignBankVariant=5394
*agent (manage/control+agent)	-er, agent, person	occurrence?id_SignBankVariant=3816
*agent (million/billion+agent)	-er, agent, person	occurrence?id_SignBankVariant=3822
*agent (million/billion_2+agent)	-er, agent, person	occurrence?id_SignBankVariant=3825
*agent (motivate+agent)	-er, agent, person	occurrence?id_SignBankVariant=3846
*agent (music+agent)	-er, agent, person	occurrence?id_SignBankVariant=3852
*agent (neuroscience+science+agent)	-er, agent, person	occurrence?id_SignBankVariant=5418
*agent (next+agent)	-er, agent, person	occurrence?id_SignBankVariant=3861
*agent (ns-africa+ns-america+agent)	-er, agent, person	occurrence?id_SignBankVariant=3880
*agent (ns-jesus+agent)	-er, agent, person	occurrence?id_SignBankVariant=3890
*agent (opposite+agent)	-er, agent, person	occurrence?id_SignBankVariant=3920
*agent (paint+agent)	-er, agent, person	occurrence?id_SignBankVariant=3923
*agent (philosophy+agent)	-er, agent, person	occurrence?id_SignBankVariant=5484
*agent (physics+agent)	-er, agent, person	occurrence?id_SignBankVariant=5497
*agent (plan+agent)	-er, agent, person	occurrence?id_SignBankVariant=5558
*agent (play+agent)	-er, agent, person	occurrence?id_SignBankVariant=3953
*agent (politics+agent)	-er, agent, person	occurrence?id_SignBankVariant=5467
*agent (preach+agent)	-er, agent, person	occurrence?id_SignBankVariant=3962
*agent (predict+agent)	-er, agent, person	occurrence?id_SignBankVariant=3965
*agent (print+agent)	-er, agent, person	occurrence?id_SignBankVariant=3968
*agent (prison+agent)	-er, agent, person	occurrence?id_SignBankVariant=3971
*agent (program+agent)	-er, agent, person	occurrence?id_SignBankVariant=5447
*agent (psychiatry+agent)	-er, agent, person	occurrence?id_SignBankVariant=3974
*agent (psychology+agent)	-er, agent, person	occurrence?id_SignBankVariant=3977
*agent (renovation+agent)	-er, agent, person	occurrence?id_SignBankVariant=4008
*agent (report+agent)	-er, agent, person	occurrence?id_SignBankVariant=4011
*agent (safe+agent)	-er, agent, person	occurrence?id_SignBankVariant=4014
*agent (safe_2+agent)	-er, agent, person	occurrence?id_SignBankVariant=4017
*agent (science+agent)	-er, agent, person	occurrence?id_SignBankVariant=4020
*agent (sculpt+agent)	-er, agent, person	occurrence?id_SignBankVariant=5419
*agent (sell+agent)	-er, agent, person	occurrence?id_SignBankVariant=5389
*agent (service+agent)	-er, agent, person	occurrence?id_SignBankVariant=4032
*agent (show+agent)	-er, agent, person	occurrence?id_SignBankVariant=4047
*agent (show-2p+agent)	-er, agent, person	occurrence?id_SignBankVariant=6704
*agent (society+agent)	-er, agent, person	occurrence?id_SignBankVariant=5499
*agent (specialty+agent)	-er, agent, person	occurrence?id_SignBankVariant=5170
*agent (statistics+agent)	-er, agent, person	occurrence?id_SignBankVariant=5962
*agent (story+agent)	-er, agent, person	occurrence?id_SignBankVariant=4086
*agent (supervise+agent)	-er, agent, person	occurrence?id_SignBankVariant=4089
*agent (support+agent)	-er, agent, person	occurrence?id_SignBankVariant=4092
*agent (take-picture+agent)	-er, agent, person	occurrence?id_SignBankVariant=5527
*agent (teach+agent)	-er, agent, person	occurrence?id_SignBankVariant=4098
*agent (technology+agent)	-er, agent, person	occurrence?id_SignBankVariant=4101
*agent (technology_2+agent)	-er, agent, person	occurrence?id_SignBankVariant=4104
*agent (therapy+agent)	-er, agent, person	occurrence?id_SignBankVariant=5489
*agent (use+agent)	-er, agent, person	occurrence?id_SignBankVariant=4211
*agent (use_2+agent)	-er, agent, person	occurrence?id_SignBankVariant=4214
*agent (vacuum+agent)	-er, agent, person	occurrence?id_SignBankVariant=6507
*agent (vegetable+agent)	-er, agent, person	occurrence?id_SignBankVariant=4915
*agent (visit+agent)	-er, agent, person	occurrence?id_SignBankVariant=4220
*agent (weld+agent)	-er, agent, person	occurrence?id_SignBankVariant=5448
*agent (wrench/plumbing+agent)	-er, agent, person	occurrence?id_SignBankVariant=7829
*agent (wrestle+agent)	-er, agent, person	occurrence?id_SignBankVariant=4295
*agent (write+agent)	-er, agent, person	occurrence?id_SignBankVariant=4301

aggressive	aggressive, ambition, ambitious, assertive, drive, driven, resolve	occurrence?id_SignBankVariant=418

agree	agree, agreed, all in favor of, be on the same page, concur, deal, see eye to eye	occurrence?id_SignBankVariant=419
(1h)agree	agree, agreed, all in favor of, be on the same page, concur, deal, see eye to eye	occurrence?id_SignBankVariant=6560
*agree ((2h)think+agree)	agree, agreed, all in favor of, be on the same page, concur, deal, see eye to eye	occurrence?id_SignBankVariant=6058
*agree (think+agree)	agree, agreed, all in favor of, be on the same page, concur, deal, see eye to eye	occurrence?id_SignBankVariant=4116

ahead	ahead, beyond	occurrence?id_SignBankVariant=421

air	air, atmosphere, oxygen	occurrence?id_SignBankVariant=422

air-pump	air pump	occurrence?id_SignBankVariant=423

airplane	airline, airplane, airport, flight, fly, pilot, plane	occurrence?id_SignBankVariant=424
airplane* (airplane+agent)	airline, airplane, airport, flight, fly, pilot, plane	occurrence?id_SignBankVariant=3238

airplane+agent	pilot	occurrence?id_SignBankVariant=3237

ns-#ala	ns-#ala	occurrence?id_SignBankVariant=5508

alarm	alarm, alert, bell, ring, signal	occurrence?id_SignBankVariant=425

ns-alaska	Alaska	occurrence?id_SignBankVariant=5412

ns-alberta	Alberta	occurrence?id_SignBankVariant=5494

alcohol	alcohol, booze, drink, intoxicant, liquor, spirits, whiskey	occurrence?id_SignBankVariant=426

algebra	algebra	occurrence?id_SignBankVariant=427
algebra_2	algebra	occurrence?id_SignBankVariant=428

#all	#all	occurrence?id_SignBankVariant=3
#all_2	#all_2	occurrence?id_SignBankVariant=4
(2h)#all_2	(2h)#all_2	occurrence?id_SignBankVariant=4454

all	all, complete, entire, the whole of, total, whole	occurrence?id_SignBankVariant=429

all-afternoon	all afternoon, throughout the afternoon	occurrence?id_SignBankVariant=430

all-day	all day, all day long, going on the entire day	occurrence?id_SignBankVariant=431

all-gone	all gone, disappear, disappeared, gone, missing	occurrence?id_SignBankVariant=4610
*all-gone (bald+all-gone)	all gone, disappear, disappeared, gone, missing	occurrence?id_SignBankVariant=3269
*all-gone (bald_2+all-gone)	all gone, disappear, disappeared, gone, missing	occurrence?id_SignBankVariant=6202

all-morning	all morning	occurrence?id_SignBankVariant=5723

all-night	all night, overnight	occurrence?id_SignBankVariant=432
*all-night (past+all-night)	all night, overnight	occurrence?id_SignBankVariant=5078
all-night-to-morning	all night, overnight	occurrence?id_SignBankVariant=4790
all-night_2	all night, overnight	occurrence?id_SignBankVariant=434
all-night_3	all night, overnight	occurrence?id_SignBankVariant=4586

all-night-after-midnight	after midnight, all night, overnight	occurrence?id_SignBankVariant=433

all-over-the-place	all around, all over, all over the place	occurrence?id_SignBankVariant=6433

all-right	all right, alright, fine, it's OK, OK, okay	occurrence?id_SignBankVariant=435
legal-right	legal right	occurrence?id_SignBankVariant=1699

all-scenes	all scenes	occurrence?id_SignBankVariant=6524

all-year	all year	occurrence?id_SignBankVariant=5745

all-years-hs	every year of high school, freshman through senior years	occurrence?id_SignBankVariant=4597

allergy	allergic, allergy	occurrence?id_SignBankVariant=437

alligator	alligator	occurrence?id_SignBankVariant=438

allow	allow, give permission, grant, let, permit	occurrence?id_SignBankVariant=439

almost	almost, close to, nearly	occurrence?id_SignBankVariant=440
(1h)almost	almost, close to, nearly	occurrence?id_SignBankVariant=6615

alone	alone, by oneself, isolated, lonely, only one	occurrence?id_SignBankVariant=441
alone_2	alone, by oneself, isolated, lonely, only one	occurrence?id_SignBankVariant=6426

also	alike, also, as well, in common, like, mutual, same, similar	occurrence?id_SignBankVariant=442
*also (boy+also)	alike, also, as well, in common, like, mutual, same, similar	occurrence?id_SignBankVariant=3332
*also (boy_2+also)	alike, also, as well, in common, like, mutual, same, similar	occurrence?id_SignBankVariant=3353
*also (girl+also)	alike, also, as well, in common, like, mutual, same, similar	occurrence?id_SignBankVariant=3641

alumni	alum, alumna, alumnae, alumni	occurrence?id_SignBankVariant=6013

always	all the time, always, endlessly, ever, perpetually	occurrence?id_SignBankVariant=443
always* (always+forever)	all the time, always, endlessly, ever, perpetually	occurrence?id_SignBankVariant=6540
always* (always+forever_2)	all the time, always, endlessly, ever, perpetually	occurrence?id_SignBankVariant=3241
always* (always+forever_3)	all the time, always, endlessly, ever, perpetually	occurrence?id_SignBankVariant=6741

always+forever	always+forever	occurrence?id_SignBankVariant=6542

always+forever_2	forever	occurrence?id_SignBankVariant=3240

always+forever_3	always+forever_3	occurrence?id_SignBankVariant=6767

amazed	amaze, amazed, amazing, astonish, astonished, astound, astounded, awesome, stun, stunned	occurrence?id_SignBankVariant=444

ambulance	ambulance, emergency vehicle	occurrence?id_SignBankVariant=445
(crvd-sprd-b)ambulance	ambulance, emergency vehicle	occurrence?id_SignBankVariant=228

ns-america	America	occurrence?id_SignBankVariant=1949
*ns-america (center+ns-america)	America	occurrence?id_SignBankVariant=3430
*ns-america (north+ns-america)	America	occurrence?id_SignBankVariant=5608
*ns-america (south+ns-america)	America	occurrence?id_SignBankVariant=5493
*ns-america* ((a)ns-africa+ns-america+agent)	America	occurrence?id_SignBankVariant=3178
*ns-america* (ns-africa+ns-america+agent)	America	occurrence?id_SignBankVariant=3879
ns-america* (ns-america+sign+language)	America	occurrence?id_SignBankVariant=3882

ns-america+sign+language	American Sign Language	occurrence?id_SignBankVariant=3881

ns-american-airlines	American Airlines	occurrence?id_SignBankVariant=4361

ns-american-indian	American Indian	occurrence?id_SignBankVariant=1950

among	admist, amid, among, in the middle of	occurrence?id_SignBankVariant=446
among_2	admist, amid, among, in the middle of	occurrence?id_SignBankVariant=447

analyze	analyze, assess, evaluate, examine, gauge, investigate	occurrence?id_SignBankVariant=448
analyze-list	analyze a list	occurrence?id_SignBankVariant=449
analyze_2	analyze, assess, evaluate, examine, gauge, investigate	occurrence?id_SignBankVariant=450
analyze_3	analyze, assess, evaluate, examine, gauge, investigate	occurrence?id_SignBankVariant=4775

and	and	occurrence?id_SignBankVariant=451

angel	angel	occurrence?id_SignBankVariant=452

angle	angle, gradient, slant	occurrence?id_SignBankVariant=453

angry	aggravated, angry, enraged, furious, infuriated, mad	occurrence?id_SignBankVariant=5490
(1h)angry	aggravated, angry, enraged, furious, infuriated, mad	occurrence?id_SignBankVariant=66
(2h)alt.angry	aggravated, angry, enraged, furious, infuriated, mad	occurrence?id_SignBankVariant=129
very-angry	very angry	occurrence?id_SignBankVariant=5999

animal	animal, beast, creature	occurrence?id_SignBankVariant=454

announce	announce, declare, make known, proclaim, tell all, tell everybody, tell everyone	occurrence?id_SignBankVariant=455
announce_2	announce, declare, make known, proclaim, tell all, tell everybody, tell everyone	occurrence?id_SignBankVariant=456

answer	answer, reply, report, respond, response	occurrence?id_SignBankVariant=457
answer* (answer+agent)	answer, reply, report, respond, response	occurrence?id_SignBankVariant=3244

answer+agent	reporter	occurrence?id_SignBankVariant=3243

any	any, some	occurrence?id_SignBankVariant=458
(2h)any	any, some	occurrence?id_SignBankVariant=4389
(2h)any* ((2h)any+(2h)thing)	any, some	occurrence?id_SignBankVariant=5135
any* (any+more)	any, some	occurrence?id_SignBankVariant=6920
any* (any+one)	any, some	occurrence?id_SignBankVariant=3247
any* (any+one-pl-arc)	any, some	occurrence?id_SignBankVariant=6079
any* (any+one_2)	any, some	occurrence?id_SignBankVariant=6196
any* (any+thing)	any, some	occurrence?id_SignBankVariant=3250
any* (any+time)	any, some	occurrence?id_SignBankVariant=6630
any* (any+where)	any, some	occurrence?id_SignBankVariant=3253

(2h)any+(2h)thing	(2h)any+(2h)thing	occurrence?id_SignBankVariant=5191

any+more	any+more	occurrence?id_SignBankVariant=6924

any+one	anyone	occurrence?id_SignBankVariant=3246

any+one-pl-arc	any+one-pl-arc	occurrence?id_SignBankVariant=6081

any+one_2	any+one_2	occurrence?id_SignBankVariant=6237

any+thing	anything	occurrence?id_SignBankVariant=3249

any+time	any+time	occurrence?id_SignBankVariant=6645

any+where	anywhere	occurrence?id_SignBankVariant=3252

anyway/not-matter	anyway, even so, it doesn't matter, not matter, whatever	occurrence?id_SignBankVariant=459

appetizer	appetizer, hors d'oeuvre	occurrence?id_SignBankVariant=5632

applause	applaud, applause, cheer, clap, commend, give an ovation, praise	occurrence?id_SignBankVariant=460
*applause ((2h)thumbs-up/good+applause)	applaud, applause, cheer, clap, commend, give an ovation, praise	occurrence?id_SignBankVariant=6096
applause-arc	applaud, applause, cheer, clap, commend, give an ovation, praise	occurrence?id_SignBankVariant=6376

apple	apple	occurrence?id_SignBankVariant=461
(s)apple	apple	occurrence?id_SignBankVariant=333
apple* (apple+juice)	apple	occurrence?id_SignBankVariant=5433

apple+juice	apple+juice	occurrence?id_SignBankVariant=5946

apply	applicable, application, apply, assign, file, table, use	occurrence?id_SignBankVariant=462
apply-1p	applicable, application, apply, assign, file, table, use	occurrence?id_SignBankVariant=4752
apply_2	applicable, application, apply, assign, file, table, use	occurrence?id_SignBankVariant=6644

appoint	appoint, assign, designate, install as	occurrence?id_SignBankVariant=463

appointment	appointment, commitment, engagement, meeting, reservation, reserve	occurrence?id_SignBankVariant=464
(a)appointment	appointment, commitment, engagement, meeting, reservation, reserve	occurrence?id_SignBankVariant=192
(nd-s)appointment	appointment, commitment, engagement, meeting, reservation, reserve	occurrence?id_SignBankVariant=295

approve	approve, authorize, seal, seal of approval, stamp	occurrence?id_SignBankVariant=465

approve/ratify	approve, give seal of approval, ratify, seal, stamp	occurrence?id_SignBankVariant=466

#apt	#apt	occurrence?id_SignBankVariant=4497

architect	architect	occurrence?id_SignBankVariant=6008

area	area, domain, field, location, place, region, sector, space, zone	occurrence?id_SignBankVariant=6687
(1h)area	area, domain, field, location, place, region, sector, space, zone	occurrence?id_SignBankVariant=67
*(1h)area (dry+(1h)area)	area, domain, field, location, place, region, sector, space, zone	occurrence?id_SignBankVariant=3490
*(1h)area (ground+(1h)area)	area, domain, field, location, place, region, sector, space, zone	occurrence?id_SignBankVariant=7664
*(1h)area (king+(1h)area)	area, domain, field, location, place, region, sector, space, zone	occurrence?id_SignBankVariant=6166
*area (dry+area)	area, domain, field, location, place, region, sector, space, zone	occurrence?id_SignBankVariant=3502
*area (ground+area)	area, domain, field, location, place, region, sector, space, zone	occurrence?id_SignBankVariant=3687
*area (king+area)	area, domain, field, location, place, region, sector, space, zone	occurrence?id_SignBankVariant=3762
*area (king+ground+area)	area, domain, field, location, place, region, sector, space, zone	occurrence?id_SignBankVariant=7683
*area_2 (dry+area_2)	area, domain, field, location, place, region, sector, space, zone	occurrence?id_SignBankVariant=3505
*area_2 (ground+area_2)	area, domain, field, location, place, region, sector, space, zone	occurrence?id_SignBankVariant=3690
*area_2 (king+area_2)	area, domain, field, location, place, region, sector, space, zone	occurrence?id_SignBankVariant=3765

argue	argue, argument, bicker, controvery, debate, disagree, dispute, fight, quarrel, row, squabble	occurrence?id_SignBankVariant=467
argue_2	argue, argument, bicker, controvery, debate, disagree, dispute, fight, quarrel, row, squabble	occurrence?id_SignBankVariant=5665
argue_2-continuative	argue, argument, bicker, controvery, debate, disagree, dispute, fight, quarrel, row, squabble	occurrence?id_SignBankVariant=6492

ns-arizona	Arizona	occurrence?id_SignBankVariant=1951

ns-#ark	ns-#ark	occurrence?id_SignBankVariant=6388

arm	arm, sleeves	occurrence?id_SignBankVariant=468
arm* (arm+short-sleeve)	arm, sleeves	occurrence?id_SignBankVariant=3256

arm+short-sleeve	short sleeved shirt	occurrence?id_SignBankVariant=3255

around	about, an estimate, approximately, around, give or take, or so	occurrence?id_SignBankVariant=469

arrive	arrive, get there, make it to, reach, show up	occurrence?id_SignBankVariant=470

art/design	art, design, drawing, illustration, sketch	occurrence?id_SignBankVariant=471
(d)art/design	art, design, drawing, illustration, sketch	occurrence?id_SignBankVariant=231
(d)art/design* ((d)art/design+agent)	art, design, drawing, illustration, sketch	occurrence?id_SignBankVariant=5686
art/design* (art/design+agent)	art, design, drawing, illustration, sketch	occurrence?id_SignBankVariant=3259
art/design_2	art, design, drawing, illustration, sketch	occurrence?id_SignBankVariant=472

(d)art/design+agent	(d)art/design+agent	occurrence?id_SignBankVariant=5740

art/design+agent	artist, designer	occurrence?id_SignBankVariant=3258

